ds,t1,hum,wind_speed,is_holiday,is_weekend,season
2024-05-24,14.49583333,63.555,9.6125,0,0,0
2024-05-25,15.7,64.0675,7.925,0,1,0
2024-05-26,15.625,74.53791667,16.24166667,0,1,0
2024-05-27,13.77916667,72.78333333,17.1,1,0,0
2024-05-28,14.225,87.41208333,17.13333333,0,0,0
2024-05-29,16.45416667,68.82291667,18.01666667,0,0,0
2024-05-30,15.14583333,70.01041667,15.14166667,0,0,0
2024-05-31,13.6,74.25416667,19.54166667,0,0,0
2024-06-01,13.35,71.48208333,18.25416667,0,1,1
2024-06-02,16.875,60.08666667,11.75416667,0,1,1
2024-06-03,16.96666667,70.01958333,8.170833333,0,0,1
2024-06-04,17.05416667,73.0525,15.14583333,0,0,1
2024-06-05,13.23333333,59.93583333,12.9125,0,0,1
2024-06-06,14.425,59.25958333,11.6,0,0,1
2024-06-07,14.98333333,62.63916667,14.37916667,0,0,1
2024-06-08,15.075,62.98583333,14.4875,0,1,1
2024-06-09,13.49166667,60.17666667,12.04166667,0,1,1
2024-06-10,12.48333333,76.00458333,16.7875,0,0,1
2024-06-11,12.0875,69.00333333,9.979166667,0,0,1
2024-06-12,13.07916667,64.1275,6.9375,0,0,1
2024-06-13,12.95,69.60333333,15.55,0,0,1
2024-06-14,15.27916667,72.11666667,20.51666667,0,0,1
2024-06-15,13.69583333,77.78708333,20.60833333,0,1,1
2024-06-16,15.9,65.63791667,18.22083333,0,1,1
2024-06-17,16.94166667,61.69166667,12.25833333,0,0,1
2024-06-18,17.67916667,63.75708333,10.21666667,0,0,1
2024-06-19,16.24166667,65.45875,14.34583333,0,0,1
2024-06-20,16.95,59.93458333,8.566666667,0,0,1
2024-06-21,18.22083333,63.08583333,13.8,0,0,1
2024-06-22,17.74166667,68.1975,14.2875,0,1,1
2024-06-23,18.825,64.36625,9.366666667,0,1,1
2024-06-24,22.075,64.80208333,6.766666667,0,0,1
2024-06-25,22.22083333,59.54666667,6.216666667,0,0,1
2024-06-26,23.05416667,58.74791667,9.120833333,0,0,1
2024-06-27,20.32916667,60.52083333,19.28333333,0,0,1
2024-06-28,16.7,59.52,18.7125,0,0,1
2024-06-29,18.54583333,52.56291667,7.004166667,0,1,1
2024-06-30,17.51666667,64.14791667,12.41666667,0,1,1
2024-07-01,16.84583333,62.08041667,13.375,0,0,1
2024-07-02,15.69166667,68.6575,13.33333333,0,0,1
2024-07-03,15.94166667,75.38958333,13.82083333,0,0,1
2024-07-04,16.775,56.69458333,23.79166667,0,0,1
2024-07-05,16.60416667,81.57041667,17.28333333,0,0,1
2024-07-06,14.60416667,80.08708333,20.86666667,0,1,1
2024-07-07,14.33333333,75.90083333,14.775,0,1,1
2024-07-08,15.23333333,79.6925,9.041666667,0,0,1
2024-07-09,17.12916667,91.85958333,15.34166667,0,0,1
2024-07-10,18.07916667,73.43666667,19.9875,0,0,1
2024-07-11,18.29166667,65.02666667,13.12083333,0,0,1
2024-07-12,15.7625,71.22291667,13.74166667,0,0,1
2024-07-13,15.94583333,65.45875,10.325,0,1,1
2024-07-14,17.14166667,68.79125,10.425,0,1,1
2024-07-15,17.15416667,78.3975,8.733333333,0,0,1
2024-07-16,17.68333333,79.83125,14.69166667,0,0,1
2024-07-17,19.06666667,68.59625,8.795833333,0,0,1
2024-07-18,20.9875,64.2375,8.9875,0,0,1
2024-07-19,23.95833333,60.21375,9.579166667,0,0,1
2024-07-20,20.22083333,77.38291667,13.325,0,1,1
2024-07-21,20.17083333,69.45791667,13.0625,0,1,1
2024-07-22,19.02916667,73.02458333,18.86666667,0,0,1
2024-07-23,19.75,73.43541667,11.88333333,0,0,1
2024-07-24,19.9875,71.50708333,13.80833333,0,0,1
2024-07-25,17.93333333,85.92166667,16.75833333,0,0,1
2024-07-26,18.51666667,68.97,13.44166667,0,0,1
2024-07-27,18.50416667,63.39666667,10.08333333,0,1,1
2024-07-28,19.85416667,60.69375,6.554166667,0,1,1
2024-07-29,21.90833333,57.3775,8.933333333,0,0,1
2024-07-30,23.89166667,58.3775,7.8,0,0,1
2024-07-31,23.09166667,57.8225,13.1125,0,0,1
2024-08-01,22.32916667,69.88708333,6.320833333,0,0,1
2024-08-02,21.85,73.535,9.7375,0,0,1
2024-08-03,20.89583333,64.35208333,15.9875,0,1,1
2024-08-04,18.4375,58.92625,10.69583333,0,1,1
2024-08-05,19.88333333,72.30458333,15.31666667,0,0,1
2024-08-06,19.42083333,75.75541667,13.46666667,0,0,1
2024-08-07,17.62083333,67.52875,14.7625,0,0,1
2024-08-08,17.875,77.29541667,18.0125,0,0,1
2024-08-09,21.10833333,65.07875,22.75,0,0,1
2024-08-10,19.63333333,70.15708333,14.82083333,0,1,1
2024-08-11,22.2625,66.54375,11.98333333,0,1,1
2024-08-12,24.99583333,66.70791667,16.14583333,0,0,1
2024-08-13,20.65833333,60.98125,12.5875,0,0,1
2024-08-14,20.7125,72.64875,8.75,0,0,1
2024-08-15,19.1875,75.80333333,18.84583333,0,0,1
2024-08-16,19.70416667,69.69375,9.704166667,0,0,1
2024-08-17,18.26666667,58.59333333,7.9625,0,1,1
2024-08-18,18.73333333,61.03333333,11.99166667,0,1,1
