TravelDate,DayOfWeek,TubeJourneyCount,BusJourneyCount
20230511,Thursday,3679000,5345000
20230512,Friday,2980000,5518000
20230513,Saturday,2779000,4506000
20230514,Sunday,2075000,3316000
20230515,Monday,3056000,5104000
20230516,Tuesday,3542000,5334000
20230517,Wednesday,3581000,5311000
20230518,Thursday,3780000,5367000
20230519,Friday,3474000,5432000
20230520,Saturday,3145000,4436000
20230521,Sunday,2116000,3194000
20230522,Monday,3050000,5077000
20230523,Tuesday,3524000,5257000
20230524,Wednesday,3584000,5296000
20230525,Thursday,3724000,5314000
20230526,Friday,3383000,5372000
20230527,Saturday,3061000,4390000
20230528,Sunday,2599000,3406000
20230529,Monday,2264000,3375000
20230530,Tuesday,3404000,4661000
20230531,Wednesday,3004000,4830000
20230601,Thursday,3622000,4784000
20230602,Friday,3101000,4997000
20230603,Saturday,2677000,4499000
20230604,Sunday,1997000,3353000
20230605,Monday,2970000,5030000
20230606,Tuesday,3467000,5260000
20230607,Wednesday,3616000,5361000
20230608,Thursday,3704000,5340000
20230609,Friday,3323000,5451000
20230610,Saturday,2871000,4488000
20230611,Sunday,2080000,3259000
20230612,Monday,3032000,5016000
20230613,Tuesday,3656000,5337000
20230614,Wednesday,3720000,5361000
20230615,Thursday,3740000,5307000
20230616,Friday,3555000,5470000
20230617,Saturday,3257000,4432000
20230618,Sunday,2151000,3258000
20230619,Monday,3141000,5104000
20230620,Tuesday,3524000,5211000
20230621,Wednesday,3608000,5318000
20230622,Thursday,3668000,5262000
20230623,Friday,3325000,5394000
20230624,Saturday,3004000,4389000
20230625,Sunday,2219000,3325000
20230626,Monday,3157000,5089000
20230627,Tuesday,3579000,5260000
20230628,Wednesday,3628000,5169000
20230629,Thursday,3850000,5260000
20230630,Friday,3636000,5396000
20230701,Saturday,3520000,4427000
20230702,Sunday,2349000,3416000
20230703,Monday,3243000,5111000
20230704,Tuesday,3650000,5205000
20230705,Wednesday,3780000,5133000
20230706,Thursday,3927000,5355000
20230707,Friday,3701000,5180000
20230708,Saturday,3354000,4277000
20230709,Sunday,2463000,3335000
20230710,Monday,3195000,5014000
20230711,Tuesday,3591000,5201000
20230712,Wednesday,3673000,5220000
20230713,Thursday,3717000,5247000
20230714,Friday,3304000,5103000
20230715,Saturday,2952000,4443000
20230716,Sunday,2120000,3361000
20230717,Monday,3066000,4949000
20230718,Tuesday,3504000,5122000
20230719,Wednesday,3561000,5126000
20230720,Thursday,3144000,5191000
20230721,Friday,3235000,5121000
20230722,Saturday,2569000,4229000
20230723,Sunday,1955000,3358000
20230724,Monday,2886000,4464000
20230725,Tuesday,3290000,4750000
20230726,Wednesday,3353000,4735000
20230727,Thursday,3384000,4620000
20230728,Friday,3151000,4744000
20230729,Saturday,2754000,4429000
20230730,Sunday,2029000,3227000
20230731,Monday,2895000,4420000
20230801,Tuesday,3349000,4701000
20230802,Wednesday,3404000,4464000
20230803,Thursday,3476000,4710000
20230804,Friday,3109000,4684000
20230805,Saturday,2724000,3874000
20230806,Sunday,2262000,3302000
20230807,Monday,2854000,4455000
20230808,Tuesday,3259000,4426000
20230809,Wednesday,3383000,4709000
20230810,Thursday,3397000,4643000
20230811,Friday,3044000,4623000
20230812,Saturday,2906000,4152000
20230813,Sunday,2045000,3218000
20230814,Monday,2809000,4312000
20230815,Tuesday,3264000,4603000
20230816,Wednesday,3303000,4580000
20230817,Thursday,3372000,4653000
20230818,Friday,3118000,4531000
20230819,Saturday,2858000,4143000
20230820,Sunday,2045000,3195000
20230821,Monday,2838000,4375000
20230822,Tuesday,3203000,4551000
20230823,Wednesday,3211000,4550000
20230824,Thursday,3216000,4663000
20230825,Friday,3094000,4712000
20230826,Saturday,2605000,4120000
20230827,Sunday,2266000,3351000
20230828,Monday,2172000,3343000
20230829,Tuesday,3022000,4519000
20230830,Wednesday,3240000,4634000
20230831,Thursday,3290000,4593000
20230901,Friday,2701000,4897000
20230902,Saturday,2490000,4456000
20230903,Sunday,1904000,3347000
20230904,Monday,2834000,4758000
20230905,Tuesday,3231000,5011000
20230906,Wednesday,3287000,5179000
20230907,Thursday,3442000,5249000
20230908,Friday,3086000,5326000
20230909,Saturday,2717000,4224000
20230910,Sunday,1878000,3223000
20230911,Monday,2949000,5203000
20230912,Tuesday,3411000,5404000
20230913,Wednesday,3524000,5441000
20230914,Thursday,3649000,5481000
20230915,Friday,3318000,5581000
20230916,Saturday,2959000,4580000
20230917,Sunday,1903000,3272000
20230918,Monday,3034000,5317000
20230919,Tuesday,3523000,5413000
20230920,Wednesday,3592000,5367000
20230921,Thursday,3772000,5505000
20230922,Friday,3403000,5600000
20230923,Saturday,3117000,4524000
20230924,Sunday,2208000,3296000
20230925,Monday,3151000,5331000
20230926,Tuesday,3619000,5539000
20230927,Wednesday,3723000,5508000
20230928,Thursday,3840000,5567000
20230929,Friday,3556000,5695000
20230930,Saturday,2954000,4788000
20231001,Sunday,2247000,3366000
20231002,Monday,3258000,5285000
20231003,Tuesday,3732000,5515000
20231004,Wednesday,2727000,5501000
20231005,Thursday,3866000,5552000
20231006,Friday,3378000,5561000
20231007,Saturday,3235000,4609000
20231008,Sunday,2377000,3434000
20231009,Monday,3299000,5289000
20231010,Tuesday,3746000,5512000
20231011,Wednesday,3802000,5477000
20231012,Thursday,3936000,5484000
20231013,Friday,3535000,5438000
20231014,Saturday,3144000,4553000
20231015,Sunday,2160000,3431000
20231016,Monday,3241000,5180000
20231017,Tuesday,3774000,5413000
20231018,Wednesday,3717000,5282000
20231019,Thursday,3803000,5377000
20231020,Friday,3382000,5285000
20231021,Saturday,3155000,4229000
20231022,Sunday,2244000,3451000
20231023,Monday,3187000,4626000
20231024,Tuesday,3626000,4833000
20231025,Wednesday,3694000,4817000
20231026,Thursday,3772000,4873000
20231027,Friday,3531000,4972000
20231028,Saturday,3294000,4415000
20231029,Sunday,2082000,3140000
20231030,Monday,3243000,5072000
20231031,Tuesday,3713000,5442000
20231101,Wednesday,3861000,5309000
20231102,Thursday,3785000,5168000
20231103,Friday,3627000,5476000
20231104,Saturday,3062000,4361000
20231105,Sunday,2081000,3315000
20231106,Monday,3204000,5269000
20231107,Tuesday,3713000,5512000
20231108,Wednesday,3778000,5353000
20231109,Thursday,3912000,5501000
20231110,Friday,3532000,5458000
20231111,Saturday,3187000,4555000
20231112,Sunday,2100000,3166000
20231113,Monday,3194000,5169000
20231114,Tuesday,3684000,5243000
20231115,Wednesday,3815000,5438000
20231116,Thursday,3915000,5333000
20231117,Friday,3790000,5520000
20231118,Saturday,3282000,4340000
20231119,Sunday,2253000,3312000
20231120,Monday,3290000,5207000
20231121,Tuesday,3773000,5364000
20231122,Wednesday,3832000,5379000
20231123,Thursday,4047000,5456000
20231124,Friday,3927000,5507000
20231125,Saturday,3661000,4505000
20231126,Sunday,2408000,3216000
20231127,Monday,3335000,5129000
20231128,Tuesday,3855000,5413000
20231129,Wednesday,3913000,5385000
20231130,Thursday,4110000,5424000
20231201,Friday,3957000,5420000
20231202,Saturday,3571000,4454000
20231203,Sunday,2393000,3204000
20231204,Monday,3489000,5151000
20231205,Tuesday,3917000,5394000
20231206,Wednesday,3914000,5593000
20231207,Thursday,4288000,5434000
20231208,Friday,4068000,5601000
20231209,Saturday,3660000,4374000
20231210,Sunday,2558000,3277000
20231211,Monday,3502000,5237000
20231212,Tuesday,3880000,5255000
20231213,Wednesday,3963000,5351000
20231214,Thursday,4109000,5412000
20231215,Friday,3817000,5487000
20231216,Saturday,3488000,4394000
20231217,Sunday,2549000,3356000
20231218,Monday,3245000,5062000
20231219,Tuesday,3474000,5002000
20231220,Wednesday,3403000,5194000
20231221,Thursday,3272000,5001000
20231222,Friday,3021000,4820000
20231223,Saturday,2587000,4158000
20231224,Sunday,1512000,2987000
20231225,Monday,0,1000
20231226,Tuesday,1523000,2793000
20231227,Wednesday,2412000,3590000
20231228,Thursday,2705000,3911000
20231229,Friday,2835000,4185000
20231230,Saturday,2667000,3783000
20231231,Sunday,2720000,3271000
20240101,Monday,1631000,2252000
20240102,Tuesday,2622000,3856000
20240103,Wednesday,2856000,4269000
20240104,Thursday,3027000,4354000
20240105,Friday,2825000,4515000
20240106,Saturday,2508000,3906000
20240107,Sunday,1547000,2964000
20240108,Monday,2337000,4533000
20240109,Tuesday,3023000,4983000
20240110,Wednesday,3145000,5034000
20240111,Thursday,3294000,5038000
20240112,Friday,3015000,5112000
20240113,Saturday,2818000,4065000
20240114,Sunday,1828000,3034000
20240115,Monday,2994000,4989000
20240116,Tuesday,3469000,5120000
20240117,Wednesday,3472000,5090000
20240118,Thursday,3596000,5124000
20240119,Friday,3200000,5198000
20240120,Saturday,2988000,4159000
20240121,Sunday,1936000,2987000
20240122,Monday,3047000,5010000
20240123,Tuesday,3520000,5056000
20240124,Wednesday,3593000,5249000
20240125,Thursday,3691000,5250000
20240126,Friday,3440000,5349000
20240127,Saturday,3049000,4278000
20240128,Sunday,2009000,3160000
20240129,Monday,3065000,5027000
20240130,Tuesday,3248000,5399000
20240131,Wednesday,3578000,5275000
20240201,Thursday,3689000,5314000
20240202,Friday,3229000,5372000
20240203,Saturday,2826000,4375000
20240204,Sunday,1964000,3237000
20240205,Monday,3073000,5101000
20240206,Tuesday,3577000,5303000
20240207,Wednesday,3618000,5263000
20240208,Thursday,3714000,5202000
20240209,Friday,3343000,5325000
20240210,Saturday,3054000,4413000
20240211,Sunday,2235000,3324000
20240212,Monday,3227000,4699000
20240213,Tuesday,3613000,4760000
20240214,Wednesday,3641000,4891000
20240215,Thursday,3749000,4839000
20240216,Friday,3426000,4847000
20240217,Saturday,3216000,4350000
20240218,Sunday,2020000,3207000
20240219,Monday,3078000,5005000
20240220,Tuesday,3601000,5276000
20240221,Wednesday,3668000,5135000
20240222,Thursday,3818000,5187000
20240223,Friday,3490000,5405000
20240224,Saturday,3155000,4511000
20240225,Sunday,2099000,3226000
20240226,Monday,3153000,5104000
20240227,Tuesday,3596000,5342000
20240228,Wednesday,3655000,5333000
20240229,Thursday,3806000,5336000
20240301,Friday,3384000,5427000
20240302,Saturday,3101000,4349000
20240303,Sunday,2122000,3334000
20240304,Monday,3131000,5203000
20240305,Tuesday,3581000,5336000
20240306,Wednesday,3676000,5394000
20240307,Thursday,3801000,5409000
20240308,Friday,3509000,5560000
20240309,Saturday,3152000,4521000
20240310,Sunday,1959000,3128000
20240311,Monday,3137000,5037000
20240312,Tuesday,3609000,5186000
20240313,Wednesday,3622000,5320000
20240314,Thursday,3742000,5396000
20240315,Friday,3447000,5468000
20240316,Saturday,3016000,4515000
20240317,Sunday,2056000,3258000
20240318,Monday,3145000,5146000
20240319,Tuesday,3595000,5305000
20240320,Wednesday,3623000,5374000
20240321,Thursday,3761000,5371000
20240322,Friday,3417000,5417000
20240323,Saturday,3185000,4483000
20240324,Sunday,2086000,3342000
20240325,Monday,3152000,5103000
20240326,Tuesday,3660000,5336000
20240327,Wednesday,3582000,5338000
20240328,Thursday,3514000,5364000
20240329,Friday,2537000,4017000
20240330,Saturday,2816000,4292000
20240331,Sunday,1785000,2891000
20240401,Monday,1975000,3274000
20240402,Tuesday,3108000,4648000
20240403,Wednesday,3310000,4639000
20240404,Thursday,3439000,4705000
20240405,Friday,3170000,4810000
20240406,Saturday,2729000,4350000
20240407,Sunday,2090000,3332000
20240408,Monday,2645000,4707000
20240409,Tuesday,3401000,4686000
20240410,Wednesday,3436000,4760000
20240411,Thursday,3592000,4767000
20240412,Friday,3344000,4925000
20240413,Saturday,2934000,4420000
20240414,Sunday,1986000,3305000
20240415,Monday,2911000,4992000
20240416,Tuesday,3470000,5313000
20240417,Wednesday,3603000,5369000
20240418,Thursday,3777000,5426000
20240419,Friday,3377000,5412000
20240420,Saturday,3303000,4469000
20240421,Sunday,2564000,3161000
20240422,Monday,3121000,5156000
20240423,Tuesday,3647000,5333000
20240424,Wednesday,3654000,5379000
20240425,Thursday,3850000,5405000
20240426,Friday,3422000,5606000
20240427,Saturday,3104000,4391000
20240428,Sunday,2056000,3202000
20240429,Monday,3158000,5226000
20240430,Tuesday,3627000,5425000
20240501,Wednesday,3654000,5364000
20240502,Thursday,3756000,5392000
20240503,Friday,3327000,5387000
20240504,Saturday,2908000,4564000
20240505,Sunday,2152000,3557000
20240506,Monday,1756000,3127000
20240507,Tuesday,3135000,5643000
20240508,Wednesday,3466000,5512000
20240509,Thursday,3780000,5541000
20240510,Friday,3491000,5629000
20240511,Saturday,3131000,4625000
20240512,Sunday,2118000,3430000
20240513,Monday,3116000,5210000
20240514,Tuesday,3643000,5341000
20240515,Wednesday,3719000,5434000
20240516,Thursday,3751000,5376000
20240517,Friday,3357000,5496000
20240518,Saturday,3076000,4434000
20240519,Sunday,2280000,3448000
20240520,Monday,3199000,5241000
20240521,Tuesday,3672000,5274000
20240522,Wednesday,3672000,5296000
20240523,Thursday,3799000,5438000
20240524,Friday,3409000,5462000
20240525,Saturday,2961000,4515000
20240526,Sunday,2393000,3399000
20240527,Monday,2032000,3462000
20240528,Tuesday,3321000,4639000
20240529,Wednesday,3525000,4854000
20240530,Thursday,3661000,4749000
20240531,Friday,3330000,4766000
20240601,Saturday,3028000,4341000
20240602,Sunday,2120000,3410000
20240603,Monday,2998000,5097000
20240604,Tuesday,3477000,5291000
20240605,Wednesday,3585000,5335000
20240606,Thursday,3753000,5431000
20240607,Friday,3398000,5497000
20240608,Saturday,3110000,4469000
20240609,Sunday,2177000,3370000
20240610,Monday,3151000,5105000
20240611,Tuesday,3631000,5378000
20240612,Wednesday,3624000,5276000
20240613,Thursday,3716000,5337000
20240614,Friday,3366000,5504000
20240615,Saturday,2807000,4366000
20240616,Sunday,2190000,3626000
20240617,Monday,3159000,5065000
20240618,Tuesday,3593000,5307000
20240619,Wednesday,3731000,5365000
20240620,Thursday,3868000,5453000
20240621,Friday,3569000,5436000
20240622,Saturday,3315000,4485000
20240623,Sunday,2351000,3520000
20240624,Monday,3187000,5129000
20240625,Tuesday,3628000,5314000
20240626,Wednesday,3617000,5190000
20240627,Thursday,3740000,5277000
20240628,Friday,3401000,5397000
20240629,Saturday,3373000,4468000
20240630,Sunday,2194000,3404000
20240701,Monday,3163000,5067000
20240702,Tuesday,3624000,5251000
20240703,Wednesday,3856000,5321000
20240704,Thursday,3873000,5394000
20240705,Friday,3442000,5177000
20240706,Saturday,3053000,4320000
20240707,Sunday,2343000,3357000
20240708,Monday,3264000,5049000
20240709,Tuesday,3647000,5116000
20240710,Wednesday,3790000,5316000
20240711,Thursday,3887000,5337000
20240712,Friday,3533000,5305000
20240713,Saturday,3149000,4575000
20240714,Sunday,2413000,3723000
20240715,Monday,3038000,4861000
20240716,Tuesday,3513000,5165000
20240717,Wednesday,3670000,5189000
20240718,Thursday,3688000,5202000
20240719,Friday,3225000,5184000
20240720,Saturday,2773000,4405000
20240721,Sunday,1994000,3442000
20240722,Monday,3062000,4748000
20240723,Tuesday,3516000,4913000
20240724,Wednesday,3558000,4897000
20240725,Thursday,3715000,4724000
20240726,Friday,3289000,4861000
20240727,Saturday,3058000,4261000
20240728,Sunday,2103000,3389000
20240729,Monday,2994000,4509000
20240730,Tuesday,3396000,4598000
20240731,Wednesday,3378000,4667000
20240801,Thursday,3402000,4605000
20240802,Friday,3083000,4711000
20240803,Saturday,2717000,4159000
20240804,Sunday,1999000,3307000
20240805,Monday,2864000,4423000
20240806,Tuesday,3208000,4531000
20240807,Wednesday,3235000,4338000
20240808,Thursday,3290000,4421000
20240809,Friday,3039000,4654000
20240810,Saturday,2939000,4125000
20240811,Sunday,2207000,3263000
20240812,Monday,2667000,4014000
20240813,Tuesday,3201000,4490000
20240814,Wednesday,3339000,4528000
20240815,Thursday,3548000,4672000
20240816,Friday,3284000,4667000
20240817,Saturday,3084000,4167000
20240818,Sunday,2238000,3292000
20240819,Monday,3035000,4407000
20240820,Tuesday,3373000,4575000
20240821,Wednesday,3343000,4560000
20240822,Thursday,3335000,4640000
20240823,Friday,3027000,4726000
20240824,Saturday,2542000,3726000
20240825,Sunday,2249000,3404000
20240826,Monday,2111000,3353000
20240827,Tuesday,3039000,4597000
20240828,Wednesday,3250000,4580000
20240829,Thursday,3337000,4661000
20240830,Friday,3075000,4742000
20240831,Saturday,2748000,4211000
20240901,Sunday,1934000,3334000
20240902,Monday,2853000,4588000
20240903,Tuesday,3294000,4928000
20240904,Wednesday,3360000,5158000
20240905,Thursday,3492000,5062000
20240906,Friday,3137000,5294000
20240907,Saturday,2875000,4322000
20240908,Sunday,1968000,3332000
20240909,Monday,3039000,5152000
20240910,Tuesday,3592000,5352000
20240911,Wednesday,3631000,5392000
20240912,Thursday,3750000,5414000
20240913,Friday,3303000,5450000
20240914,Saturday,2893000,4604000
20240915,Sunday,2005000,3478000
20240916,Monday,3156000,5222000
20240917,Tuesday,3584000,5433000
20240918,Wednesday,3654000,5403000
20240919,Thursday,3801000,5467000
20240920,Friday,3404000,5473000
20240921,Saturday,3141000,4494000
20240922,Sunday,2081000,3191000
20240923,Monday,3178000,5210000
20240924,Tuesday,3751000,5430000
20240925,Wednesday,3781000,5412000
20240926,Thursday,3952000,5456000
20240927,Friday,3543000,5384000
20240928,Saturday,3282000,4543000
20240929,Sunday,2124000,3306000
20240930,Monday,3245000,5172000
20241001,Tuesday,3806000,5220000
20241002,Wednesday,3764000,5319000
20241003,Thursday,3927000,5335000
20241004,Friday,3566000,5384000
20241005,Saturday,3341000,4409000
20241006,Sunday,2189000,3206000
20241007,Monday,3302000,5110000
20241008,Tuesday,3817000,5241000
20241009,Wednesday,3843000,5266000
20241010,Thursday,4124000,5391000
20241011,Friday,3667000,5420000
20241012,Saturday,3108000,4470000
20241013,Sunday,2199000,3292000
20241014,Monday,3353000,4915000
20241015,Tuesday,3816000,5225000
20241016,Wednesday,3773000,5219000
20241017,Thursday,3928000,5231000
20241018,Friday,3521000,5318000
20241019,Saturday,3133000,4304000
20241020,Sunday,2172000,3089000
20241021,Monday,3291000,4809000
20241022,Tuesday,3781000,5037000
20241023,Wednesday,3754000,4994000
20241024,Thursday,3910000,5080000
20241025,Friday,3572000,4968000
20241026,Saturday,3177000,4297000
20241027,Sunday,2468000,3445000
20241028,Monday,3388000,4533000
20241029,Tuesday,3813000,4743000
20241030,Wednesday,3896000,4747000
20241031,Thursday,3910000,4846000
20241101,Friday,3645000,4822000
20241102,Saturday,3119000,4327000
20241103,Sunday,2026000,3175000
20241104,Monday,3195000,4828000
20241105,Tuesday,3555000,5047000
20241106,Wednesday,3649000,5048000
20241107,Thursday,3598000,5048000
20241108,Friday,3531000,5177000
20241109,Saturday,3282000,4202000
20241110,Sunday,2266000,3108000
20241111,Monday,3337000,4944000
20241112,Tuesday,3750000,5117000
20241113,Wednesday,3876000,5128000
20241114,Thursday,4034000,5118000
20241115,Friday,3712000,5175000
20241116,Saturday,3447000,4291000
20241117,Sunday,2380000,3225000
20241118,Monday,3333000,4919000
20241119,Tuesday,3826000,4931000
20241120,Wednesday,3899000,5092000
20241121,Thursday,4097000,5103000
20241122,Friday,3821000,5205000
20241123,Saturday,3232000,4045000
20241124,Sunday,2234000,3190000
20241125,Monday,3424000,4984000
20241126,Tuesday,4042000,5202000
20241127,Wednesday,4036000,5120000
20241128,Thursday,4305000,5231000
20241129,Friday,4121000,5353000
20241130,Saturday,3760000,4447000
20241201,Sunday,2452000,3253000
20241202,Monday,3574000,5032000
20241203,Tuesday,4055000,5198000
20241204,Wednesday,4204000,5200000
20241205,Thursday,4379000,5282000
20241206,Friday,4154000,5440000
20241207,Saturday,3318000,3946000
20241208,Sunday,2498000,3065000
20241209,Monday,3615000,4983000
20241210,Tuesday,4060000,5118000
20241211,Wednesday,4174000,5130000
20241212,Thursday,4272000,5211000
20241213,Friday,3944000,5246000
20241214,Saturday,3702000,4451000
20241215,Sunday,2547000,3285000
20241216,Monday,3355000,4912000
20241217,Tuesday,3710000,5056000
20241218,Wednesday,3753000,5088000
20241219,Thursday,3762000,5127000
20241220,Friday,3417000,5102000
20241221,Saturday,3074000,4118000
20241222,Sunday,2269000,3145000
20241223,Monday,2834000,4456000
20241224,Tuesday,1870000,3773000
20241225,Wednesday,0,1000
20241226,Thursday,1503000,2598000
20241227,Friday,2561000,3637000
20241228,Saturday,2623000,3501000
