TravelDate,DayOfWeek,TubeJourneyCount,BusJourneyCount
20221218,Sunday,1892000,2832000
20221219,Monday,2966000,4282000
20221220,Tuesday,3234000,4600000
20221221,Wednesday,3081000,4462000
20221222,Thursday,2847000,4345000
20221223,Friday,2471000,4251000
20221224,Saturday,1417000,3337000
20221225,Sunday,0,1000
20221226,Monday,1311000,2560000
20221227,Tuesday,1917000,2958000
20221228,Wednesday,2286000,3486000
20221229,Thursday,2653000,3949000
20221230,Friday,2583000,3968000
20221231,Saturday,2648000,3457000
